number,group,zero_based_index,name_from_exe,vmt_or_probe_va,baseline_status,current_status,implementation_stage,classes,file_types
659,archive,658,DAX,0049e668,missing,missing,baseline_inventory,,
660,archive,659,JISO,0049e7a8,missing,missing,baseline_inventory,,
661,archive,660,HP FPM,006c3078,missing,missing,baseline_inventory,,
662,archive,661,BinSh Java,006c33c8,missing,missing,baseline_inventory,,
663,archive,662,BinSh InstallShield,006c38e8,missing,missing,baseline_inventory,,
664,archive,663,Long File Copy Service,006c4278,missing,missing,baseline_inventory,,
665,archive,664,Kodeks Archive,006c50b8,missing,missing,baseline_inventory,,
666,archive,665,Kodeks Update,006c5c88,missing,missing,baseline_inventory,,
667,archive,666,Kodeks DB,006c72e8,missing,missing,baseline_inventory,,
668,archive,667,Kodeks Document,006ca598,missing,missing,baseline_inventory,,
669,archive,668,PCM,0049e8e8,missing,missing,baseline_inventory,,
670,archive,669,BinSh Starkit,006cec08,missing,missing,baseline_inventory,,
671,archive,670,Starkit,006cf978,missing,missing,baseline_inventory,,
672,archive,671,EmmaSetup,006cfea8,missing,missing,baseline_inventory,,
673,archive,672,ECM,00487048,missing,missing,baseline_inventory,,
674,archive,673,OpenSSL,006d09d8,missing,missing,baseline_inventory,,
675,archive,674,HP OpenSSL 1,006d0d38,missing,missing,baseline_inventory,,
676,archive,675,HP OpenSSL 2,006d13b8,missing,missing,baseline_inventory,,
677,archive,676,Internet Archive,006d1c58,missing,missing,baseline_inventory,,
678,archive,677,Web Archive,006d3508,verified_subset,verified_subset,baseline_inventory,XWARC,FT_WARC
679,archive,678,FoxSqz,006d4be8,missing,missing,baseline_inventory,,
680,archive,679,Consultant Plus Archive,006d5708,missing,missing,baseline_inventory,,
681,archive,680,Consultant Plus DataBase,006d6588,missing,missing,baseline_inventory,,
682,archive,681,Unix Compact,006d8778,verified_subset,verified_subset,baseline_inventory,XCpmCompressedArchive,FT_UNIX_COMPACT
683,archive,682,Z VMS,006d8ed8,missing,missing,baseline_inventory,,
684,archive,683,DBZ,006d9458,missing,missing,baseline_inventory,,
685,archive,684,ETB,006d9908,missing,missing,baseline_inventory,,
686,archive,685,EVD,006d9f78,missing,missing,baseline_inventory,,
687,archive,686,LMD Container,006da478,missing,missing,baseline_inventory,,
688,archive,687,SVF,006db548,missing,missing,baseline_inventory,,
689,archive,688,Recognita,006dc2b8,missing,missing,baseline_inventory,,
690,archive,689,Parallels,0049ea28,missing,missing,baseline_inventory,,
691,archive,690,QED,0049eb70,missing,missing,baseline_inventory,,
692,archive,691,QCOW,0049ecb0,missing,missing,baseline_inventory,,
693,archive,692,QCOW2,0049edf0,partial,partial,baseline_inventory,XVirtualDiskArchive,FT_QCOW2
694,archive,693,Bochs,0049ef38,missing,missing,baseline_inventory,,
695,archive,694,XPA32,006dcdd8,missing,missing,baseline_inventory,,
696,archive,695,XPACK XDI,006ddb88,missing,missing,baseline_inventory,,
697,archive,696,XPACK XPA,006de418,missing,missing,baseline_inventory,,
698,archive,697,XPACK Single,006dd698,missing,missing,baseline_inventory,,
699,archive,698,ABRT,006de878,missing,missing,baseline_inventory,,
700,archive,699,SGDT,006def88,missing,missing,baseline_inventory,,
701,archive,700,Z Sybase,006dfa08,missing,missing,baseline_inventory,,
702,archive,701,SCI,006dfe68,missing,missing,baseline_inventory,,
703,archive,702,PB BBS,006e0298,missing,missing,baseline_inventory,,
704,archive,703,YZ,006e12e8,missing,missing,baseline_inventory,,
705,archive,704,XEDIT PACK,006e19d8,missing,missing,baseline_inventory,,
706,archive,705,BOO,006e20a8,implemented_unverified,implemented_unverified,baseline_inventory,XBOO,FT_BOO
707,archive,706,XUIZ,006e2818,missing,missing,baseline_inventory,,
708,archive,707,Zeno,006e3028,missing,missing,baseline_inventory,,
709,archive,708,ZIM,006e37e8,missing,missing,baseline_inventory,,
710,archive,709,UPX,006e42f8,implemented_unverified,implemented_unverified,baseline_inventory,XUPX,FT_UPX
711,archive,710,QNX Deflate,006e5348,missing,missing,baseline_inventory,,
712,archive,711,CSQ,006e5908,missing,missing,baseline_inventory,,
713,archive,712,PSARC,006e60a8,missing,missing,baseline_inventory,,
714,archive,713,SolFS,006e6ad8,missing,missing,baseline_inventory,,
715,archive,714,U-Boot,006e8078,missing,missing,baseline_inventory,,
716,archive,715,Android Boot,006e85c8,missing,missing,baseline_inventory,,
717,archive,716,1C EPF,006e8ae8,missing,missing,baseline_inventory,,
718,archive,717,Angelica,006e9638,missing,missing,baseline_inventory,,
719,archive,718,X64,0049f080,missing,missing,baseline_inventory,,
720,archive,719,C64 ARC,006ea4c8,missing,missing,baseline_inventory,,
721,archive,720,C64 VIDTEX,006eafb8,missing,missing,baseline_inventory,,
722,archive,721,C64S,006eb638,missing,missing,baseline_inventory,,
723,archive,722,C64 SDA,006ebf88,missing,missing,baseline_inventory,,
724,archive,723,C64 ARK,006ec358,missing,missing,baseline_inventory,,
725,archive,724,C64 Wraptor,006ecbb8,missing,missing,baseline_inventory,,
726,archive,725,C64 T64,006ed0f8,implemented_unverified,implemented_unverified,baseline_inventory,XT64,FT_C64_T64
727,archive,726,Safari WebArchive,006eded8,missing,missing,baseline_inventory,,
728,archive,727,OCRUS,006eea38,missing,missing,baseline_inventory,,
729,archive,728,PC Secure,006eef98,missing,missing,baseline_inventory,,
730,archive,729,CP Backup,006f0008,missing,missing,baseline_inventory,,
731,archive,730,TPWM,006f0be8,verified_subset,verified_subset,baseline_inventory,XAncient,FT_TPWM
732,archive,731,Panorama,006f16f8,missing,missing,baseline_inventory,,
733,archive,732,RTA,006f4138,missing,missing,baseline_inventory,,
734,archive,733,RTPatch Setup,006f4618,missing,missing,baseline_inventory,,
735,archive,734,RTPatch,006f7738,partial,partial,baseline_inventory,XRTPatch,FT_RTPATCH
736,archive,735,RTPatch DFC,006ff2a8,missing,missing,baseline_inventory,,
737,archive,736,LZK00,007026f8,missing,missing,baseline_inventory,,
738,archive,737,PKT,00702ab8,missing,missing,baseline_inventory,,
739,archive,738,HDLibrary,007035c8,missing,missing,baseline_inventory,,
740,archive,739,Zoot 1,00703bb8,missing,missing,baseline_inventory,,
741,archive,740,Zoot 2,00704458,missing,missing,baseline_inventory,,
742,archive,741,Squish Messages,00704dc8,missing,missing,baseline_inventory,,
743,archive,742,FoxMail,00705868,missing,missing,baseline_inventory,,
744,archive,743,Cronos Bank,00708408,missing,missing,baseline_inventory,,
745,archive,744,Amoeba MultiVol,0070c6a8,missing,missing,baseline_inventory,,
746,archive,745,Amoeba STARCH,0070cfb8,missing,missing,baseline_inventory,,
747,archive,746,TNEF,00710138,missing,missing,baseline_inventory,,
748,archive,747,Unix Mail Box,0071e708,missing,missing,baseline_inventory,,
749,archive,748,Becky,0071ed08,missing,missing,baseline_inventory,,
750,archive,749,MIME,00715308,missing,missing,baseline_inventory,,
751,archive,750,TAPEIO,0071e258,missing,missing,baseline_inventory,,
752,archive,751,ForteAgent,0071f308,missing,missing,baseline_inventory,,
753,archive,752,Outlook,007217f8,missing,missing,baseline_inventory,,
754,archive,753,IRIX SA,007257b8,missing,missing,baseline_inventory,,
755,archive,754,SDI,00725bf8,missing,missing,baseline_inventory,,
756,archive,755,Ghost,00726048,missing,missing,baseline_inventory,,
757,archive,756,Exchange,00729838,missing,missing,baseline_inventory,,
758,archive,757,ZLWB,0072aca8,missing,missing,baseline_inventory,,
759,archive,758,BKF,0071c8e8,missing,missing,baseline_inventory,,
760,archive,759,VHDX,0049c048,partial,verified_subset,integrated_verified_subset,XVirtualDiskArchive;XNTFSArchive,FT_VHDX
761,archive,760,COSI,0072b858,missing,missing,baseline_inventory,,
762,archive,761,CHD,0049f448,missing,missing,baseline_inventory,,
763,archive,762,V9T9,0072c128,missing,missing,baseline_inventory,,
764,archive,763,TI99 ARC,0072c518,missing,missing,baseline_inventory,,
765,archive,764,TI99 TDF,0049f588,missing,missing,baseline_inventory,,
766,archive,765,BK LZ,0072d468,missing,missing,baseline_inventory,,
767,archive,766,BK DLZ,0072da28,missing,missing,baseline_inventory,,
768,archive,767,HFE,0049f6d0,missing,missing,baseline_inventory,,
769,archive,768,VBK,0049f810,missing,missing,baseline_inventory,,
770,archive,769,HamCore,0072dde8,missing,missing,baseline_inventory,,
771,archive,770,RefPack,0072eb38,missing,missing,baseline_inventory,,
772,archive,771,BinSh InstallAnywhere,0072eea8,implemented_unverified,implemented_unverified,baseline_inventory,XInstallAnywhere,FT_INSTALLANYWHERE_SFX
773,archive,772,SREP,0072fda8,missing,missing,baseline_inventory,,
774,archive,773,Wintermute DCP,007300f8,implemented_unverified,implemented_unverified,baseline_inventory,XWintermuteDCP,FT_WINTERMUTE_DCP
775,archive,774,Maxon,00732cf8,missing,missing,baseline_inventory,,
776,archive,775,DSL 2,00733528,missing,missing,baseline_inventory,,
777,archive,776,SparseImage,0049f950,missing,missing,baseline_inventory,,
778,archive,777,BIGAF,00734c28,missing,missing,baseline_inventory,,
779,archive,778,AIAFF,00735228,missing,missing,baseline_inventory,,
780,archive,779,FTP_FT,00739868,missing,missing,baseline_inventory,,
