number,group,zero_based_index,name_from_exe,vmt_or_probe_va,baseline_status,current_status,implementation_stage,classes,file_types
908,sfx,97,SFX CroInstaller,00761948,missing,missing,baseline_inventory,,
909,sfx,98,SFX ClickTeam,00762508,partial,partial,baseline_inventory,XClickteam,FT_PE32_CLICKTEAM
910,sfx,99,SFX 7-ZIP,0050f0a8,partial,partial,baseline_inventory,XSevenZipSFX;XSFX;XSevenZip,FT_PE32_7ZSFX
911,sfx,100,SFX 7-ZIP,0050f1e8,partial,partial,baseline_inventory,XSevenZipSFX;XSFX;XSevenZip,FT_PE32_7ZSFX
912,sfx,101,SFX SQZ,005dff98,implemented_unverified,implemented_unverified,baseline_inventory,XSqzSFX;XSFX;XSQZ,FT_SQZSFX
913,sfx,102,SFX CAR,005eb428,missing,missing,baseline_inventory,,
914,sfx,103,SFX JZIP,005f53d8,missing,missing,baseline_inventory,,
915,sfx,104,SFX ShInBo,005f7278,missing,missing,baseline_inventory,,
916,sfx,105,SFX QAR,005f9818,missing,missing,baseline_inventory,,
917,sfx,106,SFX ACE,00500498,missing,missing,baseline_inventory,,
918,sfx,107,SFX ICEOWS,00600628,missing,missing,baseline_inventory,,
919,sfx,108,SFX NSS,00769488,missing,missing,baseline_inventory,,
920,sfx,109,SFX BZIP2,00433038,missing,verified_subset,integrated_verified_subset,XBzip2SFX;XSFX;XBZIP2,FT_BZIP2SFX
921,sfx,110,SFX Floppy Image,00769b08,missing,missing,baseline_inventory,,
922,sfx,111,SFX Raw Image,0049bc68,missing,missing,baseline_inventory,,
923,sfx,112,SFX GCS,00769d38,missing,missing,baseline_inventory,,
924,sfx,113,SFX WarpIn,0076a6d8,missing,missing,baseline_inventory,,
925,sfx,114,SFX ARDI 1,0076a9e8,missing,missing,baseline_inventory,,
926,sfx,115,SFX ARDI 2,0076b008,missing,missing,baseline_inventory,,
927,sfx,116,SFX Cisco,0076b828,missing,missing,baseline_inventory,,
928,sfx,117,SFX ISNI,0076bb38,missing,missing,baseline_inventory,,
929,sfx,118,SFX SFPack,00628dd8,missing,missing,baseline_inventory,,
930,sfx,119,SFX sfArk,0062b6b8,missing,missing,baseline_inventory,,
931,sfx,120,SFX RED,0056bcc8,missing,missing,baseline_inventory,,
932,sfx,121,SFX SoftPaq 4,0076c2f8,missing,missing,baseline_inventory,,
933,sfx,122,SFX Compaq Install,0076c888,missing,missing,baseline_inventory,,
934,sfx,123,SFX SWAG,00653a88,missing,missing,baseline_inventory,,
935,sfx,124,SFX Sydex,0076d378,missing,missing,baseline_inventory,,
936,sfx,125,SFX PKSFX,0076dbd8,missing,missing,baseline_inventory,,
937,sfx,126,SFX InnoTek,0076de68,missing,missing,baseline_inventory,,
938,sfx,127,SFX BookBizMaster,00770488,missing,missing,baseline_inventory,,
939,sfx,128,SFX Excelsior Installer,00771438,missing,missing,baseline_inventory,,
940,sfx,129,SFX VMS DCX,0066faa8,missing,missing,baseline_inventory,,
941,sfx,130,SFX VMS PCSI,006700e8,missing,missing,baseline_inventory,,
942,sfx,131,SFX MMF2,00772268,missing,missing,baseline_inventory,,
943,sfx,132,SFX FXC,004d81a8,missing,missing,baseline_inventory,,
944,sfx,133,SFX SQX 1,007737e8,missing,missing,baseline_inventory,,
945,sfx,134,SFX SQX 2,00773be8,missing,missing,baseline_inventory,,
946,sfx,135,SFX SQX 3,00774038,missing,missing,baseline_inventory,,
947,sfx,136,SFX StuffIt,00774268,missing,missing,baseline_inventory,,
948,sfx,137,SFX Advanced Installer,007745b8,partial,partial,baseline_inventory,XAdvancedInstaller,FT_PE32_ADVANCEDINSTALLER
949,sfx,138,SFX SELFX,00774dc8,missing,missing,baseline_inventory,,
950,sfx,139,SFX VisualWare,007750a8,missing,missing,baseline_inventory,,
951,sfx,140,EXE EBookEditPro,00775d18,missing,missing,baseline_inventory,,
952,sfx,141,EXE EBookMaestro,00777348,missing,missing,baseline_inventory,,
953,sfx,142,EXE EBookCreator,00777fd8,missing,missing,baseline_inventory,,
954,sfx,143,EXE WebExe,007785f8,missing,missing,baseline_inventory,,
955,sfx,144,EXE SBookBuilder,00778dd8,missing,missing,baseline_inventory,,
956,sfx,145,EXE NatataEBook,007794c8,missing,missing,baseline_inventory,,
957,sfx,146,EXE SunRav,006a78a8,missing,missing,baseline_inventory,,
958,sfx,147,EXE CopyQM,00779bf8,implemented_unverified,implemented_unverified,baseline_inventory,XCopyQM,FT_MSDOS_COPYQM
959,sfx,148,SFX NSIS,00784fb8,partial,partial,baseline_inventory,XNSIS,FT_PE32_NSIS
960,sfx,149,SFX ZipCentral,00785908,missing,missing,baseline_inventory,,
961,sfx,150,SFX MakeSFX,00785b88,missing,missing,baseline_inventory,,
962,sfx,151,SFX IS18,00786538,missing,missing,baseline_inventory,,
963,sfx,152,SFX Smart Install Maker,00786cb8,partial,partial,baseline_inventory,XSmartInstall,FT_PE32_SMARTINSTALL
964,sfx,153,SFX Smart Install Maker,00786e00,partial,partial,baseline_inventory,XSmartInstall,FT_PE32_SMARTINSTALL
965,sfx,154,SFX RTA,006f4138,missing,missing,baseline_inventory,,
966,sfx,155,SFX RTPatch,006f7738,partial,partial,baseline_inventory,XRTPatchSFX;XSFX;XRTPatch,FT_RTPATCHSFX
967,sfx,156,SFX Starkit,006cf978,missing,missing,baseline_inventory,,
968,sfx,157,SFX RTPatch DFC,006ff2a8,missing,missing,baseline_inventory,,
969,sfx,158,SFX QSetup,0078a968,missing,missing,baseline_inventory,,
970,sfx,159,SFX MetaProducts,0078b238,missing,missing,baseline_inventory,,
971,sfx,160,SFX IS19,0078b748,missing,missing,baseline_inventory,,
972,sfx,161,SFX Paquet Builder,0078bc88,missing,missing,baseline_inventory,,
973,filesystem,0,ISO,00461bb0,partial,partial,baseline_inventory,XISO9660,FT_ISO9660
974,filesystem,1,Minix,004406b0,missing,missing,baseline_inventory,,
975,filesystem,2,BeFS,00441d70,missing,missing,baseline_inventory,,
976,filesystem,3,Ext2,00443bd0,missing,missing,baseline_inventory,,
977,filesystem,4,UFS,00445040,missing,missing,baseline_inventory,,
978,filesystem,5,UFS2,00445fb0,missing,missing,baseline_inventory,,
979,filesystem,6,HPFS,00446d80,missing,missing,baseline_inventory,,
980,filesystem,7,QNX4,004479c0,missing,missing,baseline_inventory,,
981,filesystem,8,QNX6,004489c0,missing,missing,baseline_inventory,,
982,filesystem,9,ProDOS,0044a530,missing,missing,baseline_inventory,,
983,filesystem,10,MFS,0044bae0,missing,missing,baseline_inventory,,
984,filesystem,11,UNIX_V5,0044c210,missing,missing,baseline_inventory,,
985,filesystem,12,UNIX_V7,0044ce10,missing,missing,baseline_inventory,,
986,filesystem,13,UNIX_SCO,0044db10,missing,missing,baseline_inventory,,
987,filesystem,14,Apple_DOS33,0044f6b0,missing,missing,baseline_inventory,,
988,filesystem,15,AIX,00451030,missing,missing,baseline_inventory,,
989,filesystem,16,Excelsior,00451dd0,missing,missing,baseline_inventory,,
990,filesystem,17,Files11,004528b0,missing,missing,baseline_inventory,,
991,filesystem,18,NTFS,0046a480,missing,verified_subset,integrated_verified_subset,XNTFSArchive;XVirtualDiskArchive,FT_NTFS;FT_VHD;FT_VHDX
992,filesystem,19,exFAT,0046d9d0,missing,missing,baseline_inventory,,
993,filesystem,20,ReFS,0046e800,missing,missing,baseline_inventory,,
994,filesystem,21,HFS,004722d0,missing,missing,baseline_inventory,,
995,filesystem,22,HFS_Plus,004707a0,missing,missing,baseline_inventory,,
996,filesystem,23,XiaFS,0047b6b0,missing,missing,baseline_inventory,,
997,filesystem,24,Fossil,0047c440,missing,missing,baseline_inventory,,
998,filesystem,25,SmakyFOS,0047d780,missing,missing,baseline_inventory,,
999,filesystem,26,AtheFS,0047e3a0,missing,missing,baseline_inventory,,
1000,filesystem,27,SOS1,004290a0,missing,missing,baseline_inventory,,
1001,filesystem,28,ADF,004283b0,missing,missing,baseline_inventory,,
1002,filesystem,29,UCSD,0047f8e0,missing,missing,baseline_inventory,,
1003,filesystem,30,CBM,004808f0,missing,missing,baseline_inventory,,
1004,filesystem,31,Amoeba_Bullet,00482340,missing,missing,baseline_inventory,,
1005,filesystem,32,Amoeba_Kernel,00482f10,missing,missing,baseline_inventory,,
1006,filesystem,33,EFS,004833f0,missing,missing,baseline_inventory,,
1007,filesystem,34,TI99,00490930,missing,missing,baseline_inventory,,
1008,filesystem,35,TI99,00491380,missing,missing,baseline_inventory,,
1009,filesystem,36,3DO,00492940,missing,missing,baseline_inventory,,
1010,filesystem,37,Game Alien,004930c0,missing,missing,baseline_inventory,,
1011,filesystem,38,TRDOS,00497490,missing,missing,baseline_inventory,,
1012,filesystem,39,Atari,00498a10,missing,missing,baseline_inventory,,
1013,filesystem,40,Game Zoids,0049b3d0,missing,missing,baseline_inventory,,
